enunciado,status_imagem,referencia_imagem,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,banca,ano,especialidade,output_gabarito,output_explicacao,output_grande_area,output_taxa_certeza,processado,output_tema,output_subtema,output_especialidade,exportado
"Mulher de 40 anos, casada há 15 anos, trabalha como auxiliar administrativa e tem dois filhos adolescentes. Durante uma consulta na Unidade Básica de Saúde para tratar uma dor crônica nas costas, ela revela ao médico, entre divertida e constrangida, que o marido controla seu acesso ao próprio salário para que as contas fiquem sempre controladas. Ela gostaria de ter um cartão de crédito, mas o marido alega que isso poderá desregular a vida financeira da família. Questionada, ela expressa que se sente impotente e gostaria de mudar, mas não vê saída, pois depende financeiramente dele para o sustento da casa. Ressalta que não quer que os filhos saibam dessa situação, temendo que isso afete a relação deles com o pai. Considerando a situação apresentada, qual deve ser a conduta do médico de família da UBS?",0,,"Explicar à paciente que o comportamento do marido caracteriza violência patrimonial e orientá-la sobre seus direitos e a possibilidade de buscar ajuda jurídica e apoio psicológico, oferecendo-se para desenvolver um plano de segurança financeira junto com a paciente.","Reconhecer que o comportamento do marido é uma forma de violência patrimonial e encaminhá-la para um assistente social da UBS, que poderá envolver outros membros da equipe, como o psicólogo e a enfermeira, para discutir as implicações financeiras e emocionais da situação.","Sugerir que ela considere abrir uma conta bancária secreta ou procurar um advogado de confiança para garantir que ela tenha acesso ao seu dinheiro, sem a necessidade de envolver a equipe da UBS ou os filhos, preservando, assim, sua autonomia financeira e privacidade.",Reconhecer a violência patrimonial e ponderar que questões financeiras são comuns em casamentos e que é possível resolver a situação com diálogo. O médico pode sugerir que o casal participe de um aconselhamento financeiro.,,ALBERT EINSTEIN,2025,Acesso Direto,A,"A situação descrita configura violência patrimonial, uma forma de violência doméstica. O médico de família, ao identificar essa situação, deve orientar a paciente sobre seus direitos, oferecer apoio e encaminhá-la para os serviços adequados, como assistência social e apoio psicológico. A alternativa A é a mais completa, pois aborda a orientação sobre os direitos, a possibilidade de ajuda jurídica e psicológica, e o desenvolvimento de um plano de segurança financeira. A alternativa B também é válida, mas menos completa que a A. As alternativas C e D são inadequadas, pois a C sugere ações que podem colocar a paciente em risco e a D minimiza a gravidade da situação. A alternativa E é inválida.",Preventiva,95,1,Violência Doméstica,Violência Patrimonial,Medicina de Família e Comunidade,0
"Qual das alternativas a seguir descreve, corretamente, as características da população assistida pela Atenção Primária à Saúde (APS) no Brasil em relação à incidência de transtornos de somatização?",0,,"Transtornos de somatização são mais frequentes em pessoas que, embora tenham um nível educacional elevado, enfrentam altos níveis de estresse ocupacional, o que pode ser exacerbado pelo ambiente urbano.","Transtornos de somatização são igualmente prevalentes entre homens e mulheres na APS, refletindo uma distribuição homogênea dos sintomas psicossomáticos em diferentes grupos sociais.","Transtornos de somatização tendem a ser mais diagnosticados em indivíduos com acesso frequente aos serviços de saúde, independentemente do nível socioeconômico, devido à maior sensibilização dos profissionais de saúde.","Transtornos de somatização são frequentemente observados em mulheres, especialmente aquelas que residem em áreas atendidas pela APS, com maior prevalência associada a questões de saúde mental não psicótica.",,ALBERT EINSTEIN,2025,Acesso Direto,D,"A alternativa correta é a D. Transtornos de somatização são mais comuns em mulheres, especialmente naquelas atendidas pela APS, e estão frequentemente associados a problemas de saúde mental não psicóticos. Essa prevalência aumentada em mulheres pode estar ligada a fatores biológicos, sociais e culturais. As outras alternativas estão incorretas porque: A) Embora o estresse ocupacional possa contribuir, a somatização é mais comum em populações vulneráveis, independentemente do nível educacional. B) A prevalência não é igual entre homens e mulheres. C) O acesso frequente não garante o diagnóstico, e o nível socioeconômico influencia. E) 'nan' não é uma alternativa válida.",Clínica Médica,95,1,Transtornos Somatoformes,Somatização na APS,Medicina de Família e Comunidade,0
"Em uma consulta na UBS, Lívia relata que sua pressão, apesar de estar fazendo o tratamento adequadamente, não está controlada; quando mede, às vezes, está 15 x 10, e outras vezes, 16 x 9. Fala que ela sabe que esses valores são altos e os relaciona a uma dor de cabeça na nuca. Conta que tem dor de cabeça frequentemente, que vai e volta algumas vezes no mês. A dor parece apertar a nuca e, por vezes, desce para ombros, algumas vezes dói moderadamente e, de vez em quando, dói muito, fazendo com que ela não consiga ajeitar a sua própria casa ao chegar do trabalho no final da tarde. Toma dipirona em todas ocasiões em que sente a dor, isso acontece em torno 1-2 vezes por semana, no máximo, 6 vezes no mês. Nega qualquer outro sintoma que acompanhe, exceto a pressão alterada. Hoje está com dor leve atrás da cabeça, sem qualquer outro sintoma. No exame físico, não havia qualquer alteração, e a PA era de 126 x 86 mmHg. Considerando o caso apresentado, assinale a alternativa que descreve, corretamente, o diagnóstico e o tratamento.",0,,"É uma cefaleia secundária, e há necessidade de revisar os medicamentos para hipertensão arterial sistêmica para diminuir a pressão.","É uma cefaleia primária, que exige tratamento profilático com antidepressivos, dose baixa e uso de exames de imagem.","É uma cefaleia primária, que é tratada com anti-inflamatório não esteroidal associado e medidas não farmacológicas, por exemplo, massagem.","É uma cefaleia crônica diária; deve-se suspender a medicação de uso frequente e pedir diário da dor, com retorno em 15 dias.",,ALBERT EINSTEIN,2025,Acesso Direto,C,"A paciente apresenta hipertensão arterial mal controlada, apesar do tratamento, e queixa de cefaleia frequente, com características de cefaleia tensional (dor em aperto na nuca, que se irradia para os ombros). A dor de cabeça não apresenta sinais de alarme (como febre, alterações visuais, déficits neurológicos focais, etc.). A pressão arterial aferida na consulta está controlada (126x86 mmHg), o que sugere que as dores de cabeça não estão necessariamente relacionadas a picos hipertensivos no momento da consulta. O uso frequente de dipirona (analgésico) para alívio da dor também é característico da cefaleia tensional. 

Analisando as alternativas:
*   **A) É uma cefaleia secundária, e há necessidade de revisar os medicamentos para hipertensão arterial sistêmica para diminuir a pressão.** Incorreta. A cefaleia tensional é primária, e a PA aferida na consulta está boa.
*   **B) É uma cefaleia primária, que exige tratamento profilático com antidepressivos, dose baixa e uso de exames de imagem.** Incorreta. O tratamento profilático com antidepressivos pode ser considerado em casos de alta frequência ou intensidade da cefaleia, mas não é a primeira linha. Exames de imagem não são necessários na ausência de sinais de alarme.
*   **C) É uma cefaleia primária, que é tratada com anti-inflamatório não esteroidal associado e medidas não farmacológicas, por exemplo, massagem.** Correta. A cefaleia tensional é primária e pode ser tratada com analgésicos (como a dipirona que a paciente já usa) ou AINEs, associados a medidas não farmacológicas como massagem, relaxamento, etc.
*   **D) É uma cefaleia crônica diária; deve-se suspender a medicação de uso frequente e pedir diário da dor, com retorno em 15 dias.** Incorreta. A cefaleia não é diária, e a suspensão abrupta da medicação sem avaliação adequada não é recomendada.
*   **E) nan** Incorreta.

",Clínica Médica,95,1,Hipertensão Arterial Sistêmica/Cefaleias,Cefaleia Tensional/Crise Hipertensiva,Cardiologia/Neurologia,0
"Adolescente de 16 anos, eutrófico, procura orientações a respeito das formas de proteção própria e de seus parceiros contra doenças sexualmente transmissíveis, em especial o HIV. O paciente refere ser homoafetivo e sexualmente ativo e relata não utilizar preservativos em todas as relações sexuais, com diferentes parceiros. De acordo com os protocolos atuais do Ministério da Saúde, qual seria a recomendação para o manejo da infecção por HIV nesse paciente?",0,,"Prescrever profilaxia pré-exposição ao HIV, indicada para adolescentes acima de 15 anos com mais de 35 quilos, sexualmente ativos.","Orientar que a profilaxia pós-exposição, se necessária, deve ser iniciada até uma semana após uma possível exposição ao HIV.",Informar que a profilaxia pré-exposição só pode ser prescrita com consentimento por escrito do adolescente e dos pais responsáveis.,Informar que a profilaxia pós-exposição com antirretrovirais deve ser administrada pelos 6 meses subsequentes à exposição sexual de risco.,,ALBERT EINSTEIN,2025,Acesso Direto,A,"O caso descreve um adolescente homoafetivo, sexualmente ativo e com relações sexuais desprotegidas, o que o coloca em risco aumentado para infecção pelo HIV. As recomendações do Ministério da Saúde preconizam a oferta de PrEP (Profilaxia Pré-Exposição) para indivíduos com risco aumentado de exposição ao HIV, como o paciente em questão. A PrEP é indicada para adolescentes acima de 15 anos com mais de 35 kg, sexualmente ativos e com risco de exposição ao HIV. A PEP (Profilaxia Pós-Exposição) deve ser iniciada o mais rápido possível, idealmente dentro de 72 horas após a exposição de risco. O consentimento para PrEP em adolescentes segue as diretrizes gerais para atenção à saúde, respeitando a autonomia do adolescente. A duração da PEP não é de 6 meses, mas sim de 28 dias. Portanto, a alternativa correta é a que menciona a PrEP como uma opção para o paciente.",Clínica Médica,95,1,Doenças Sexualmente Transmissíveis (DSTs),Profilaxia Pré-Exposição (PrEP) e Profilaxia Pós-Exposição (PEP) ao HIV,Infectologia,0
"Manuel, um paciente diabético de longa data, veio à UBS hoje porque não está se sentido muito bem; está tonto, com a visão estranha e fazendo mais xixi que o habitual; nega outras queixas. Veio, também, porque iniciou o uso de insulina NPH, há 10 dias, e precisa fazer o controle glicêmico na UBS. Foi encaminhado para a sala de avaliação, onde foi feita a medida da sua glicemia – sendo encontrado o valor de 288 mg/dL - realizado um exame na sua urina, cujo resultado foi cetonúria negativa. Diante desse quadro, qual alternativa descreve a conduta acertada?",0,,"A médica responsável pelo paciente deve encaminhá-lo para atendimento em serviço emergência, pois a glicemia está maior que 250 mg/dL.","Deve-se administrar insulina regular, com dose equivalente a 10% da dose total usada pelo paciente, se possível, hidratar, mesmo que oralmente, e reavaliar a glicemia em 4 horas.","Deve-se administrar insulina NPH, com dose equivalente a 10% da dose usada pelo paciente, hidratar com soro fisiológico a 0,9% intravenoso e reavaliar a glicemia em 4 horas.","Devem-se avaliar sinais de desidratação e cetose; caso não sejam encontrados, deve-se hidratar o paciente com soro fisiológico a 0,9% intravenoso e reavaliar a glicemia em 30 minutos.",,ALBERT EINSTEIN,2025,Acesso Direto,B,"O paciente apresenta sinais de hiperglicemia (tontura, visão turva, poliúria) e glicemia elevada (288 mg/dL). A ausência de cetonúria sugere que não se trata de cetoacidose diabética, mas sim de um estado de hiperglicemia não cetótica. A conduta inicial deve ser a administração de insulina regular para reduzir a glicemia, hidratação para corrigir a desidratação causada pela poliúria e monitorização da glicemia. A dose de insulina regular deve ser calculada com base na glicemia atual e na sensibilidade do paciente à insulina. Uma dose inicial de 10% da dose total diária de NPH pode ser utilizada como guia, mas deve ser ajustada conforme a resposta glicêmica. A hidratação oral é preferível se o paciente estiver consciente e tolerando líquidos. A reavaliação da glicemia em 4 horas permite monitorar a resposta ao tratamento e ajustar a dose de insulina, se necessário. As outras alternativas estão incorretas porque: A) Encaminhar para emergência não é a primeira conduta, já que não há sinais de emergência como cetoacidose. C) Usar NPH não é o ideal para correção rápida da hiperglicemia. D) Hidratação IV e reavaliação em 30 minutos são muito agressivas para o quadro apresentado.",Clínica Médica,95,1,Diabetes Mellitus,Crise Hiperglicêmica,Endocrinologia,0
"Uma paciente com transtorno por uso de álcool chega a um Centro de Atenção Psicossocial (CAPS) solicitando apoio para ficar abstinente. Cristiane tem 42 anos, é mãe, está desempregada, faz uso de álcool desde os 16 anos; ela conta que aumentou o consumo perto dos 35 anos e, desde então, faz uso diariamente e ao longo de todo o dia, com maior consumo à noite. Faz 10 dias que vem diminuindo, estando há 2 dias sem beber, mas não está se sentido bem; tem insônia, náusea e inquietação, e por isso buscou ajuda. Nega febre, suor, tremor e sintomas psicóticos. É a terceira vez que tenta parar. Nas outras vezes, tentou sozinha e não conseguiu, mas não teve problemas graves de saúde. Não costuma ir à sua UBS de referência e tem receio do que as pessoas podem falar. Na avaliação, a equipe usou o Alcohol Use Disro- ders Identification Test (AUDIT). O escore da paciente nesse teste foi de 24 pontos, indicando provável transtor- no por uso de álcool de moderado a grave.
Adote: CAGE - sigla formada pelas iniciais em inglês das palavras-chaves das perguntas de um instrumento utilizado para avaliar uso de álcool (cutdown, annoyed, guilty e eye-opened).
Qual das alternativas a seguir descreve a conduta correta do CAPS frente ao caso?",0,,"Aplicar também o CAGE, solicitar exames e iniciar o tratamento com inibidores da recaptação de seroto- nina associados a benzodiazepínicos, além de enca- minhar para Unidade Básica de Saúde para demais cuidados.","Deve acolher, ouvir a história da paciente e encami- nhá-la para cuidado longitudinal na Atenção Primária à Saúde (APS), pois ela deve entrar no sistema de saúde por intermédio da APS e, se necessário, ser encaminhada.","Reconhecer a gravidade do caso pelos sinais de abstinência e, a partir do diagnóstico, encaminhar para serviço de emergência para atendimento ini- cial, organizando internação breve para tratamento posterior.","Deve fazer observação por algumas horas, avaliar rede de apoio, introduzir Diazepam de até 10 mg de 8/8 horas e tiamina 100 mg IM por 5 dias, orientar sinais de alerta e marcar retorno breve para reava- liação do caso.",,ALBERT EINSTEIN,2025,Acesso Direto,D,"A paciente apresenta sinais de abstinência alcoólica (insônia, náusea, inquietação) e histórico de tentativas prévias de abstinência sem sucesso. O escore no AUDIT indica um transtorno por uso de álcool de moderado a grave. O CAPS deve acolher a paciente, avaliar a gravidade da síndrome de abstinência, oferecer suporte para a abstinência (incluindo tratamento farmacológico para aliviar os sintomas de abstinência e prevenir complicações como delirium tremens ou convulsões), avaliar a rede de apoio social e oferecer acompanhamento psicossocial. O Diazepam e a Tiamina são medicações adequadas para o tratamento da síndrome de abstinência alcoólica. A observação por algumas horas é importante para monitorar a evolução dos sintomas. O encaminhamento para a UBS pode ser feito posteriormente para acompanhamento longitudinal, mas o tratamento inicial da abstinência deve ser priorizado no CAPS. A alternativa A está incorreta pois o uso de inibidores da recaptação de serotonina não é indicado para o tratamento da abstinência alcoólica. A alternativa B está incorreta pois o caso necessita de intervenção imediata devido à síndrome de abstinência. A alternativa C está incorreta pois o encaminhamento para a emergência não é necessário, a menos que haja sinais de delirium tremens ou outras complicações graves. A alternativa E é inválida.",Clínica Médica,95,1,Transtornos por Uso de Substâncias,"Transtorno por Uso de Álcool, Abstinência Alcoólica, CAPS",Psiquiatria,0
"Assinale a alternativa que indica, corretamente, caracte- rísticas importante para que um ensaio clínico randomi- zado seja considerado como bem conduzido.",0,,Os grupos de comparação foram semelhantes em termos de características basais no início do estudo.,A seleção de participantes tenha ocorrido a partir de um único centro de pesquisa.,A análise tenha sido feita apenas a partir dos dados dos participantes que aderiram até o final do estudo aos tratamentos selecionados para os grupos.,Os resultados terem sido publicados em uma revista científica de alto impacto.,,ALBERT EINSTEIN,2025,Acesso Direto,A,"Um ensaio clínico randomizado bem conduzido deve garantir a comparabilidade entre os grupos no início do estudo, minimizando vieses de seleção. A alternativa A está correta porque a semelhança nas características basais dos grupos de comparação é fundamental para que as diferenças observadas nos resultados possam ser atribuídas ao tratamento em estudo. A alternativa B está incorreta porque a seleção de participantes em um único centro pode limitar a generalização dos resultados. A alternativa C está incorreta porque a análise apenas dos participantes que aderiram ao tratamento (análise 'per protocol') pode introduzir vieses. A alternativa D está incorreta porque a publicação em uma revista de alto impacto não garante a qualidade metodológica do estudo, embora seja um indicativo positivo.",Clínica Médica,95,1,Ensaios Clínicos Randomizados,Condução e Validade,Epidemiologia Clínica,0
"Sobre revisão sistemática e meta-análise, assinale a alternativa correta.",0,,Revisão sistemática e meta-análise têm o mesmo significado do ponto de vista de metodologia da pesquisa.,"Os estudos selecionados das bases de dados, nos quais forem observados vieses, devem ser sistema- ticamente excluídos.","Em uma meta-análise, a estimativa sumária final do efeito considera o peso de cada estudo, levando em conta a precisão de seu resultado.",A presença de heterogeneidade entre os estudos inva- lida o cálculo da estimativa sumário da meta-análise.,,ALBERT EINSTEIN,2025,Acesso Direto,C,"A) Incorreta. Revisão sistemática é um processo de pesquisa que visa identificar, selecionar e sintetizar evidências relevantes para responder a uma pergunta específica. Meta-análise é uma técnica estatística que combina os resultados de múltiplos estudos para obter uma estimativa sumária do efeito. São complementares, mas não sinônimos.
B) Incorreta. Estudos com vieses devem ser avaliados criticamente e, dependendo da gravidade dos vieses, podem ser incluídos com ressalvas ou excluídos, mas a exclusão não é automática.
C) Correta. Em uma meta-análise, a estimativa sumária final do efeito é ponderada pela precisão de cada estudo. Estudos com maior precisão (menor variância) têm maior peso na estimativa final.
D) Incorreta. A presença de heterogeneidade entre os estudos não invalida o cálculo da estimativa sumária, mas exige que sejam utilizadas técnicas estatísticas apropriadas para lidar com a heterogeneidade, como modelos de efeitos aleatórios ou análise de subgrupos.
E) Incorreta. A alternativa não apresenta conteúdo válido.",Clínica Médica,95,1,Revisão Sistemática e Meta-análise,Interpretação de Resultados,Medicina Baseada em Evidências,0
"Os registros de exame físico e dados antropométricos de todos os calouros da turma de universitários de 1970 foram periodicamente coletados, armazenados e avalia- dos, em 2022, com o objetivo de verificar se seus pesos e alturas estariam associados ao desenvolvimento de doença cardiovascular.
Esse estudo é um exemplo de:",0,,estudo de coorte retrospectiva.,estudo transversal.,estudo caso-controle.,estudo adaptativo.,,ALBERT EINSTEIN,2025,Acesso Direto,A,"O estudo descrito acompanha um grupo (coorte) de indivíduos desde 1970 (dados coletados no passado) até 2022, analisando a associação entre dados antropométricos coletados no passado e o desenvolvimento de doença cardiovascular. Isso caracteriza um estudo de coorte retrospectivo, pois os dados foram coletados antes do desfecho ser avaliado e a análise é feita no presente, olhando para trás no tempo. Um estudo transversal avalia a exposição e o desfecho simultaneamente em um ponto no tempo. Um estudo caso-controle compara um grupo com a doença (casos) com um grupo sem a doença (controles) para identificar fatores de risco. Um estudo adaptativo não se encaixa no contexto epidemiológico da questão.",Preventiva,98,1,Estudos Observacionais,Estudo de Coorte Retrospectivo,Epidemiologia,0
"Em um ensaio clínico controlado, o planejamento de delineamento de cross-over",0,,elimina a necessidade de randomização.,requer randomização estratificada.,deve considerar um possível efeito residual da pri- meira intervenção.,aumenta a validade externa dos resultados.,,ALBERT EINSTEIN,2025,Acesso Direto,C,"Em um ensaio clínico cross-over, cada participante recebe todas as intervenções em sequência, atuando como seu próprio controle. Isso reduz a variabilidade entre os grupos, mas introduz a possibilidade de um efeito residual (carry-over) da primeira intervenção influenciar os resultados da segunda. Portanto, o planejamento deve considerar esse efeito. A randomização é ainda necessária para alocar a ordem das intervenções aos participantes. A randomização estratificada pode ser usada para equilibrar fatores de confusão conhecidos. A validade externa pode ser afetada, pois nem todas as condições clínicas permitem o uso do delineamento cross-over.",Clínica Médica,95,1,Ensaios Clínicos,Delineamento Cross-over,Bioestatística,0
"Maria, 45 anos, vem à consulta relatando dores genera- lizadas há mais de oito meses, além de sensação de fa- diga e sono não reparador. Ela já foi a vários especialistas e realizou múltiplos exames, os quais trouxe à consulta, todos avaliados como normais, incluindo alguns autoan- ticorpos e provas de atividade inflamatória. Maria chora e expressa preocupação de que os médicos não estão levando suas queixas a sério. Durante o exame físico, percebe-se que Maria tem sensibilidade dolorosa difusa à palpação muscular e articular, mas não se notam sinais inflamatórios articulares.
Ao aplicar o método clínico centrado na pessoa, qual deve ser a primeira abordagem?",0,,"Informar à paciente que, apesar de todos os exames normais, os sintomas indicam claramente uma fibro- mialgia e iniciar o tratamento com antidepressivos tricí- clicos e relaxantes musculares.",Explorar detalhadamente os sintomas e solicitar novos exames com perfil completo de autoanticorpos para melhor abordar a preocupação de Maria e confirmar o diagnóstico com segurança.,"Investigar como Maria está vivenciando esses sinto- mas, seus medos, expectativas e impacto na sua rotina de vida e, somente então, discutir possíveis estratégias para manejo conjunto dos sintomas.","Encaminhar a paciente para um especialista em reu- matologia, considerando o tempo de duração dos sin- tomas, o que colabora para a possibilidade de uma condição autoimune não detectada.",,ALBERT EINSTEIN,2025,Acesso Direto,C,"A questão aborda a importância da abordagem centrada no paciente, especialmente em casos de dor crônica como a fibromialgia. A alternativa C é a mais adequada porque prioriza a compreensão da experiência da paciente, seus medos e o impacto da dor em sua vida. Antes de focar em diagnósticos ou tratamentos, é crucial estabelecer uma relação de confiança e entender a perspectiva da paciente. As outras alternativas são menos adequadas porque propõem intervenções (tratamento medicamentoso, exames adicionais, encaminhamento) sem antes considerar a experiência subjetiva da paciente. A fibromialgia é uma condição complexa e a abordagem centrada no paciente é fundamental para um manejo eficaz.",Clínica Médica,95,1,Fibromialgia,Abordagem Centrada no Paciente,Reumatologia,0
"Em junho de 2024, a taxa de desemprego no Brasil caiu para 6,9%, a menor taxa desde 2015. Segundo dados do IBGE, o número de empregados no setor privado também foi o máximo já registrado, 52,2 milhões, im- pulsionado por novos recordes do total de trabalhado- res com carteira assinada (38,4 milhões) e sem carteira (13,8 milhões). A taxa de informalidade, que inclui empre- gados sem carteira assinada, empregadores sem CNPJ e trabalhador familiar auxiliar, ficou em 38,6% do total de ocupados no país.
(https://agenciabrasil.ebc.com.br/economia/noticia/2024-07/ desemprego-cai-para-69-menor-indice-do-trimestre-desde- -2014#:~:text=A%20taxa%20de%20informalidade%2C %20que,no%20mesmo%20trimestre%20de%202023)
Considerando a história do sistema de saúde no Brasil e a relevância desse contexto para a oferta de serviços de saúde, como seria a situação de acesso à saúde pública para a população de trabalhadores formais e informais citada na notícia antes da criação do Sistema Único de Saúde (SUS) em 1988?",0,,"Ambas as populações mencionadas teriam o mesmo acesso à saúde que têm atualmente, pois o direito à saúde pública sempre foi garantido a todos os traba- Ihadores, independentemente de serem formais ou informais.","A população de trabalhadores informais enfrentaria dificuldades significativas para acessar serviços, já que o sistema público de saúde era focado em traba- Ihadores formais com carteira assinada, excluindo, na maior parte, os informais.","Ambas as populações mencionadas teriam o mesmo acesso à saúde que têm atualmente, pois o direito à saúde pública sempre foi garantido a todos os cida- dãos brasileiros, sendo sua oferta organizada pelo SUS.","A oferta de serviços para trabalhadores informais ficava a cargo do Instituto Nacional de Assistência Médica da Previdência Social (INAMPS), enquanto os formais tinham a garantia de planos de saúde por seus empregadores.",,ALBERT EINSTEIN,2025,Acesso Direto,B,"Antes da criação do SUS em 1988, o acesso à saúde no Brasil era bastante desigual. O sistema era baseado em um modelo previdenciário, onde o acesso aos serviços de saúde era vinculado à contribuição para a Previdência Social, principalmente através do INAMPS. Trabalhadores formais, com carteira assinada, tinham acesso aos serviços de saúde através do INAMPS, embora a qualidade e a abrangência desses serviços fossem limitadas. Já os trabalhadores informais, que não contribuíam para a Previdência, enfrentavam grandes dificuldades para acessar qualquer tipo de assistência médica pública. A alternativa B descreve essa situação de forma mais precisa, indicando que os trabalhadores informais enfrentavam dificuldades significativas para acessar serviços, enquanto o sistema era mais focado nos trabalhadores formais. As demais alternativas estão incorretas, pois o direito à saúde não era universalmente garantido antes do SUS, e a oferta de serviços para informais não era adequadamente suprida pelo INAMPS.",Preventiva,95,1,Sistema de Saúde,Acesso à Saúde,Saúde Pública,0
"Durante uma reunião da equipe de APS, a enfermeira relata o caso de um paciente com diabetes não contro- lado, que frequentemente busca atendimento no pronto- -socorro por complicações agudas. A equipe decide discutir como otimizar o cuidado desse paciente e de outros com situação semelhante.
Com base no conceito de rede de atenção à saúde, qual seria a estratégia mais eficaz para evitar novas interna- ções e melhorar o controle da doença?",0,,"Organizar uma abordagem centralizada na APS, com ênfase em consultas frequentes e acompanha- mento exclusivo pela sua equipe de forma a abordar os determinantes sociais da saúde.","Garantir que o paciente seja encaminhado para o nível secundário de atenção à saúde, para aten- dimento por um especialista em endocrinologia e melhor manejo medicamentoso do caso.","Estabelecer uma linha de cuidado que coordene e monitore o estado de saúde do paciente, desde a atenção primária à saúde até os serviços especiali- zados, quando necessário.",Estabelecer um protocolo clínico que facilite o acesso aos demais níveis da rede de atenção à saúde para todos os pacientes com múltiplas internações por complicações agudas.,,ALBERT EINSTEIN,2025,Acesso Direto,C,"A questão aborda a otimização do cuidado de um paciente diabético com internações frequentes. A alternativa mais eficaz, dentro do conceito de Rede de Atenção à Saúde (RAS), é estabelecer uma linha de cuidado que coordene e monitore o paciente desde a APS até os serviços especializados. Isso garante um acompanhamento contínuo e integrado, evitando fragmentação do cuidado e reduzindo internações. A alternativa A foca apenas na APS, negligenciando a necessidade de acesso a outros níveis. A alternativa B prioriza o especialista, sem considerar a importância da coordenação do cuidado pela APS. A alternativa D propõe um protocolo genérico, sem a individualização e coordenação necessárias. Portanto, a alternativa C é a mais completa e alinhada com os princípios da RAS.",Preventiva,95,1,Rede de Atenção à Saúde,Coordenação do Cuidado,Saúde da Família e Comunidade,0
"Homem de 60 anos de idade procura a unidade básica de saúde queixando-se de dor protocinética e após caminhadas em joelhos há 5 anos. O quadro é acompanhado de dor nas mãos, principalmente após esforços, com episódios de rigidez matinal de 15 minutos. No exame clínico dos membros encontram-se joelhos com desvio em varo bilateral, com pequeno derrame articular à esquerda. Hipotrofia muscular de quadríceps bilateralmente (mais acentuada à esquerda), além de crepitação aos movimentos de flexão acima de 90 graus. Há nódulos de Heberden e Bouchard em mãos. Considerando a principal hipótese diagnóstica, marque a correta:",0,,Glicosamina e controitina melhoram a dor e evitam dano estrutural.,A diacereína está recomendada pelas principais diretrizes da doença.,Os estudos mais recentes mostram que a hidroxicloroquina é eficaz.,Anti-inflamatórios tópicos estão recomendados.,,USP-SP,2021,Acesso Direto,D,"O quadro clínico do paciente (dor protocinética nos joelhos, piora após caminhada, desvio em varo, crepitação, hipotrofia de quadríceps, nódulos de Heberden e Bouchard, rigidez matinal curta) sugere fortemente osteoartrite (OA). 

Análise das alternativas:
*   A) Glicosamina e condroitina: A eficácia da glicosamina e condroitina no tratamento da OA é controversa. As diretrizes atuais não recomendam seu uso rotineiro, pois os benefícios são pequenos e não há evidências consistentes de que evitem dano estrutural.
*   B) Diacereína: A diacereína não é mais recomendada pelas principais diretrizes devido a preocupações com seus efeitos colaterais e eficácia limitada.
*   C) Hidroxicloroquina: A hidroxicloroquina é utilizada no tratamento de doenças autoimunes, como lúpus e artrite reumatoide, e não tem eficácia comprovada na osteoartrite.
*   D) Anti-inflamatórios tópicos: Anti-inflamatórios tópicos, como diclofenaco em gel, são recomendados para o tratamento da dor na osteoartrite, especialmente em articulações superficiais como joelhos e mãos, devido à sua eficácia e menor risco de efeitos colaterais sistêmicos em comparação com os AINEs orais.

Portanto, a alternativa correta é a que indica o uso de anti-inflamatórios tópicos.",Clínica Médica,95,1,Osteoartrite,Tratamento da Osteoartrite,Reumatologia,0
"Mulher de 27 anos de idade está em acompanhamento em ambulatório de serviço de referência por lúpus eritematoso sistêmico diagnosticado há 2 anos. Comparece em consulta queixando-se de edema progressivo de membros inferiores, urina espumosa e redução progressiva do volume urinário há 20 dias. Atualmente está em uso de prednisona 10 mg/dia e Azatioprina 150 mg/dia. No exame clínico, PA 150x90 mmHg, FC 100 bpm, FR 20 ipm, Temperatura axilar 36,5°C. Edema depressível de membros inferiores 2+/4+, edema de face +/4+. Não há outras alterações no restante do exame clínico. Considerando o quadro atual da paciente, qual das alternativas abaixo traz associações compatíveis entre a classificação da doença e os achados histológicos e laboratoriais?",1,extracted_images/r1acessodiretousp-sp2021-1727377464633-USP-SP-2021-R1__pg2__q2__alt_table.jpg,Proliferativa difusa,Proliferativa focal,Membranosa,Proliferativa mesangial,,USP-SP,2021,Acesso Direto,A,"A paciente apresenta um quadro de nefrite lúpica, manifestada por edema, proteinúria e hipertensão, em um contexto de lúpus eritematoso sistêmico. A redução progressiva do volume urinário sugere comprometimento da função renal. A apresentação clínica e a progressão do quadro são importantes para determinar a classe de nefrite lúpica. 

A) Proliferativa difusa: Geralmente associada a um quadro mais grave e rápido, com >50% dos glomérulos afetados. Apresenta redução do C3 sérico e proteinúria > 3g/dia. 
B) Proliferativa focal: Acomete <50% dos glomérulos. Pode apresentar aumento do C3 sérico, hematúria e proteinúria entre 1 e 3 g/dia.
C) Membranosa: Caracterizada por espessamento da membrana basal glomerular. 
D) Proliferativa mesangial: Expansão da matriz mesangial, insuficiência renal rapidamente progressiva e proteinúria > 3g/dia.

Considerando a proteinúria > 3g/dia e a progressão rápida do quadro, a glomerulonefrite proliferativa difusa (Classe IV) e a mesangial (Classe II) são as mais prováveis. No entanto, a descrição da proliferativa difusa se encaixa melhor no quadro clínico da paciente.",Clínica Médica,90,1,Lúpus Eritematoso Sistêmico,Nefrite Lúpica,Reumatologia,0
